period,drL_Boris,drL_RK4,drL_SPPINN
1,5.438959822042074e-16,2.7945559946390143e-08,0.000413770055965903
2,7.251946429389432e-16,5.5891122249662875e-08,7.779607540074775e-05
3,5.438959822042074e-16,8.383668745371418e-08,9.484450583161205e-05
4,7.251946429389432e-16,1.1178225827802396e-07,0.00014115891613676254
5,0.0,1.39727831640515e-07,0.0003402546505210531
6,3.625973214694716e-16,1.676734093541739e-07,5.931895909389664e-05
7,0.0,1.9561899051250736e-07,0.0006364642509850392
8,5.438959822042074e-16,2.2356457547811267e-07,0.0005888811782957796
9,1.812986607347358e-16,2.5151016497618453e-07,0.0008371139137597778
10,5.438959822042074e-16,2.794557573750349e-07,0.001308654315997808
11,9.06493303673679e-16,3.0740135358115724e-07,0.001202555498649853
12,5.438959822042074e-16,3.3534695504494067e-07,0.0019343117214852387
13,5.438959822042074e-16,3.632925588656067e-07,0.0018657417009145907
14,1.812986607347358e-15,3.912381670374406e-07,0.0023704291540389334
15,2.1755839288168296e-15,4.191837790165464e-07,0.0027560997631034456
16,1.4503892858778864e-15,4.4712939534682e-07,0.0028379540066428587
17,1.9942852680820937e-15,4.750750151217682e-07,0.0036116402458719
18,1.812986607347358e-15,5.030206383413909e-07,0.0035347312934181723
19,1.631687946612622e-15,5.309662651869869e-07,0.004220673476287869
20,1.0877919644084148e-15,5.589118960211534e-07,0.004459549607627624
21,1.0877919644084148e-15,5.868575302999944e-07,0.00471349487116147
22,1.9942852680820937e-15,6.148031687487047e-07,0.005407637718056063
23,1.9942852680820937e-15,6.427488108233882e-07,0.005334805803336249
24,2.1755839288168296e-15,6.706944568866421e-07,0.006099908424314004
25,1.631687946612622e-15,6.98640106213272e-07,0.00615621246618279
26,2.1755839288168296e-15,7.265857591658751e-07,0.006541816033827196
27,1.631687946612622e-15,7.545314168322434e-07,0.007046187744984435
28,1.9942852680820937e-15,7.824770783058835e-07,0.006987190872951797
29,2.5381812502863012e-15,8.104227432241982e-07,0.007716247255032736
30,2.5381812502863012e-15,8.383684121310835e-07,0.007583996725836169
31,3.263375893225244e-15,8.663140846639419e-07,0.008043343997375366
32,3.807271875429452e-15,8.942597613666695e-07,0.008277834267154345
33,4.532466518368395e-15,9.222054411514745e-07,0.008238952328067437
34,4.169869196898923e-15,9.501511247435512e-07,0.008820013535531818
35,3.9885705361641875e-15,9.780968128680945e-07,0.00852205226676576
36,4.532466518368395e-15,1.0060425047999098e-06,0.008987936006588806
37,5.0763625005726024e-15,1.0339882001763994e-06,0.008916229289130505
38,5.62025848277681e-15,1.0619338995414597e-06,0.008900796399168812
