period,drL_Boris,drL_RK4,drL_SPPINN,dgamma_Boris,dgamma_RK4,dgamma_SPPINN
1,5.438959822042074e-16,2.7945559946390143e-08,2.8696285116953482e-05,5.329070518200751e-16,2.6827737542589602e-08,2.7548449522640795e-05
11,9.06493303673679e-16,3.0740135358115724e-07,1.101981020340285e-05,7.105427357601002e-16,2.951052977095969e-07,1.0579020126755268e-05
21,1.0877919644084148e-15,5.868575302999944e-07,3.904795172801168e-06,8.881784197001252e-16,5.633832225626633e-07,3.7486036584155615e-06
31,3.263375893225244e-15,8.663140846639419e-07,2.8025813666484474e-05,3.197442310920451e-15,8.316615069503542e-07,2.6904796200000192e-05
41,5.9828558042462816e-15,1.145771019211181e-06,3.7432384836555755e-06,5.684341886080802e-15,1.0999401533595688e-06,3.5935092132177716e-06
51,6.88934910791996e-15,1.425228330497037e-06,3.670820795897351e-06,6.394884621840902e-15,1.3682191584152292e-06,3.523988222653429e-06
61,5.438959822042074e-15,1.7046860221474833e-06,2.280338553412471e-05,5.151434834260726e-15,1.6364985254924137e-06,2.1891260096396082e-05
71,6.88934910791996e-15,1.9841440896300535e-06,5.340696107647967e-06,6.394884621840902e-15,1.904778250505501e-06,5.127067715804401e-06
81,5.62025848277681e-15,2.26360253530163e-06,1.9924885042602075e-06,5.329070518200751e-15,2.17305833558612e-06,1.9127890402259594e-06
91,6.345453125715753e-15,2.5430613595248097e-06,1.4556805532660123e-05,6.0396132539608514e-15,2.4413387810895413e-06,1.3974537379723984e-05
101,6.526751786450488e-15,2.822520560849204e-06,1.423077645111013e-05,6.217248937900877e-15,2.7096195854170448e-06,1.366154150481691e-05
111,5.801557143511546e-15,3.1019801425381885e-06,3.1952190512383687e-07,5.329070518200751e-15,2.977900752121343e-06,3.067410307977525e-07
121,6.88934910791996e-15,3.3814400991528033e-06,5.444500574897964e-06,6.572520305780927e-15,3.2461822756957305e-06,5.226721120976663e-06
131,5.438959822042074e-15,3.660900433049931e-06,2.075844187348763e-05,5.151434834260726e-15,3.5144641584494706e-06,1.9928095924903745e-05
141,7.433245090124167e-15,3.940361146586454e-06,1.2227206970348933e-07,7.105427357601002e-15,3.782746402691828e-06,1.173811870813779e-07
151,7.070647768654696e-15,4.2198222383119845e-06,2.368412772645036e-06,6.7501559897209515e-15,4.051029007001717e-06,2.27367615419638e-06
161,6.1641544649810174e-15,4.499283709676909e-06,2.3191607314236002e-05,5.861977570020826e-15,4.319311972622586e-06,2.226393269477711e-05
171,5.62025848277681e-15,4.778745559230841e-06,2.352135783598037e-06,5.329070518200751e-15,4.587595298488622e-06,2.2580504584368556e-06
181,5.801557143511546e-15,5.05820778552339e-06,7.3121977940385945e-06,5.329070518200751e-15,4.8558789830011054e-06,7.019708855793283e-06
191,4.895063839837867e-15,5.337670393812217e-06,2.0734658528127385e-05,4.618527782440651e-15,5.124163031133832e-06,1.9905263932429307e-05
201,6.526751786450488e-15,5.617133381015244e-06,7.068222546804071e-06,6.0396132539608514e-15,5.392447440044634e-06,6.7854946040668555e-06
211,7.251946429389432e-15,5.8965967444129926e-06,8.814051814038066e-06,6.927791673660977e-15,5.660732207246611e-06,8.461488249977833e-06
221,9.06493303673679e-15,6.17606048436806e-06,1.3775921527499103e-05,8.704148513061228e-15,5.929017332562125e-06,1.3224881022644297e-05
231,1.1421815626288356e-14,6.455524606138107e-06,1.3351024485599808e-05,1.0835776720341527e-14,6.197302821853157e-06,1.2816986928498863e-05
241,1.0515322322614677e-14,6.734989102289887e-06,7.383374103759761e-06,1.0125233984581428e-14,6.465588667303734e-06,7.088038092994964e-06
251,9.427530358206262e-15,7.0144539788062585e-06,3.806734288278044e-06,8.881784197001252e-15,6.733874874953471e-06,3.6544646386360567e-06
261,7.251946429389432e-15,7.293919230973455e-06,1.953475317195815e-05,6.7501559897209515e-15,7.002161440361476e-06,1.8753370371626944e-05
271,5.0763625005726024e-15,7.5733848645930335e-06,4.362869449908519e-06,4.7961634663806766e-15,7.270448368856819e-06,4.188354306577935e-06
281,4.713765179103131e-15,7.85285087603902e-06,6.967732866127225e-06,4.440892098500626e-15,7.5387356570644215e-06,6.689024483641504e-06
291,4.351167857633659e-15,8.132317267849599e-06,2.369121296658562e-05,4.085620730620576e-15,7.807023307471184e-06,2.274357522420445e-05
301,2.5381812502863012e-15,8.41178403676139e-06,1.4303838189851009e-06,2.4868995751603505e-15,8.075311316879663e-06,1.3731684269657762e-06
311,2.3568825895515654e-15,8.691251182049202e-06,1.621512208556626e-05,2.1316282072803005e-15,8.343599684579317e-06,1.556652225023214e-05
321,3.625973214694716e-16,8.970718706251214e-06,2.421978675789907e-05,3.552713678800501e-16,8.611888413057045e-06,2.325100654996248e-05
331,5.438959822042074e-16,9.250186608098338e-06,1.2373522277768028e-08,5.329070518200751e-16,8.880177501069398e-06,1.1878581496205243e-08
341,1.9942852680820937e-15,9.529654889947454e-06,2.209106280529488e-05,1.9539925233402757e-15,9.148466950748002e-06,2.1207429662695175e-05
351,2.719479911021037e-15,9.809123548535186e-06,2.036409337273363e-05,2.6645352591003757e-15,9.416756759250688e-06,1.9549537599772294e-05
361,2.719479911021037e-15,1.008859258621842e-05,7.957774361409557e-07,2.6645352591003757e-15,9.685046928709084e-06,7.639463266428947e-07
371,0.0,1.0368062001002866e-05,2.370578317504982e-05,0.0,9.953337457169197e-06,2.275756263738771e-05
381,5.438959822042074e-16,1.064753179506411e-05,1.2496332173030662e-05,5.329070518200751e-16,1.0221628346585022e-05,1.1996481884146703e-05
391,2.900778571755773e-15,1.092700196749566e-05,3.4929289460351767e-06,2.842170943040401e-15,1.0489919596423647e-05,3.353211553935864e-06
401,9.06493303673679e-16,1.120647251630323e-05,2.130947588782152e-05,1.0658141036401502e-15,1.0758211204553447e-05,2.045710557059266e-05
411,7.251946429389432e-16,1.1485943443299806e-05,2.0789146636244205e-06,5.329070518200751e-16,1.1026503172750779e-05,1.9957581599783226e-06
421,1.0877919644084148e-15,1.1765414747397596e-05,6.934050654320464e-06,1.0658141036401502e-15,1.1294795499949829e-05,6.6566877050533435e-06
431,1.0877919644084148e-15,1.2044886432585171e-05,1.614756892750873e-05,1.0658141036401502e-15,1.1563088189880943e-05,1.550167117638779e-05
441,7.251946429389432e-16,1.2324358494692663e-05,8.691085805943346e-06,7.105427357601002e-16,1.183138123863614e-05,8.343440923574974e-06
451,2.719479911021037e-15,1.260383093625825e-05,9.458636580740027e-06,2.4868995751603505e-15,1.2099674648879954e-05,9.08028939985428e-06
461,2.719479911021037e-15,1.2883303757463234e-05,1.0035291780368416e-05,2.4868995751603505e-15,1.236796842043475e-05,9.63388204269222e-06
471,3.263375893225244e-15,1.3162776953775146e-05,1.745472426870199e-05,3.0198066269804257e-15,1.2636262549037269e-05,1.675652944825856e-05
481,3.807271875429452e-15,1.344225053027035e-05,9.482594585422752e-06,3.552713678800501e-15,1.2904557039661312e-05,9.103289075618193e-06
491,3.263375893225244e-15,1.3721724484591962e-05,4.784128111237972e-06,3.0198066269804257e-15,1.3172851890175252e-05,4.592763426103375e-06
501,3.263375893225244e-15,1.4001198819640763e-05,2.2316629910235075e-05,3.197442310920451e-15,1.3441147103065987e-05,2.1423955151433916e-05
511,3.625973214694716e-15,1.4280673530702985e-05,6.061658842619996e-06,3.3750779948604757e-15,1.3709442673892624e-05,5.819191783551503e-06
521,3.263375893225244e-15,1.4560148620135514e-05,1.6558283426431112e-06,3.0198066269804257e-15,1.397773860496443e-05,1.5895952614641828e-06
531,3.625973214694716e-15,1.4839624088844839e-05,2.2342864466971558e-05,3.3750779948604757e-15,1.424603489716958e-05,2.1449140303531065e-05
541,4.895063839837867e-15,1.5119099937012262e-05,7.291450120343039e-07,4.618527782440651e-15,1.451433155068571e-05,6.999792216078049e-07
551,5.801557143511546e-15,1.5398576161193107e-05,1.0094984604817353e-06,5.5067062021407766e-15,1.4782628562137745e-05,9.69118541505054e-07
561,6.1641544649810174e-15,1.5678052766826334e-05,1.7788769052824254e-05,5.861977570020826e-15,1.5050925936854754e-05,1.7077212214999804e-05
571,5.9828558042462816e-15,1.5957529747385193e-05,9.724874308364426e-06,5.684341886080802e-15,1.531922366844185e-05,9.33588115170636e-06
581,6.88934910791996e-15,1.6237007106314354e-05,2.2468233589358215e-06,6.394884621840902e-15,1.5587521760096477e-05,2.1569505214813487e-06
591,7.070647768654696e-15,1.6516484844339016e-05,9.994158939830745e-06,6.7501559897209515e-15,1.585582021288445e-05,9.59439066452461e-06
601,6.526751786450488e-15,1.6795962960552688e-05,1.8939312161718894e-05,6.217248937900877e-15,1.6124119025739958e-05,1.8181746562007108e-05
611,8.15843973306311e-15,1.707544145749354e-05,4.067985513176571e-06,7.815970093361103e-15,1.639241820097226e-05,3.905266410342279e-06
621,5.62025848277681e-15,1.735492032917873e-05,9.809855666248784e-07,5.329070518200751e-15,1.6660717733074647e-05,9.417461255267767e-07
631,7.614543750858903e-15,1.763439957977812e-05,2.609875511698074e-05,7.105427357601002e-15,1.6929017625955112e-05,2.505481798991127e-05
641,8.339738393797847e-15,1.791387920766002e-05,4.9544679403680256e-06,7.815970093361103e-15,1.7197317878014928e-05,4.7562896940078755e-06
651,8.521037054532582e-15,1.819335921536262e-05,7.124894667968343e-06,8.171241461241152e-15,1.746561849156336e-05,6.839899855748399e-06
