t,Pxerr_Boris,Pxerr_RK4,Pxerr_SPPINN
-90.0,0.0,0.0,0.0
-89.6,1.6259183073515462e-06,7.192922472920582e-15,2.9347921662314924e-13
-89.2,2.356314011672583e-06,5.2530679459095175e-15,7.021930779893548e-13
-88.8,1.906566053134248e-06,7.116594639977603e-15,1.2154208845968628e-12
-88.4,1.5594326635136758e-07,5.237260278234679e-14,1.7613443255987127e-12
-88.0,2.8027516214826007e-06,8.482711061352788e-14,2.2043176745728532e-12
-87.6,6.643839430179308e-06,1.26647932592594e-13,2.484148628988103e-12
-87.2,1.082833569993741e-05,1.2739592367139174e-13,2.4876566735373973e-12
-86.8,1.4665395709385042e-05,1.5173160037434963e-13,2.239067438403186e-12
-86.4,1.7411458219664306e-05,1.5337286562305819e-13,1.6789501104501336e-12
-86.0,1.839535773368099e-05,1.2320765067908024e-13,8.317563760136537e-13
-85.6,1.7151005785513316e-05,6.407266210650686e-14,1.964013804020559e-13
-85.2,1.3534835989655915e-05,4.4454240635816156e-14,1.1639480611974617e-12
-84.8,7.804250407992663e-06,1.3477066684863814e-14,1.949019938496388e-12
-84.4,6.365394424449628e-07,2.737957430221094e-14,2.3059843964889915e-12
-84.0,6.924758966194745e-06,6.55278782624169e-14,2.2096443598462745e-12
-83.6,1.359803769746356e-05,6.453415276122532e-14,1.5635260013774355e-12
-83.2,1.8055143558819728e-05,5.063939718941146e-14,4.16796588562085e-13
-82.8,1.915179394012547e-05,1.4701998299337937e-14,1.112361938671036e-12
-82.4,1.6161482235024262e-05,5.954568435551089e-14,2.765249834668637e-12
-82.0,8.971212333418188e-06,1.362850804431659e-13,4.156588701703656e-12
-81.6,1.8022085256524413e-06,1.5957807991684447e-13,4.99879955137561e-12
-81.2,1.4808592162417894e-05,2.1670599342771268e-13,5.376389871497578e-12
-80.8,2.809155170812455e-05,2.544683214145138e-13,5.28733697449657e-12
-80.4,3.9343770397654585e-05,2.039004815684864e-13,4.44751548957234e-12
-80.0,4.6264313325058894e-05,1.4845205143290685e-13,2.458926833849573e-12
-79.6,4.6969550610169225e-05,6.667192839482361e-14,8.869827615443082e-13
-79.2,4.0392008354275376e-05,5.2591177940319866e-14,4.881346628987648e-12
-78.8,2.659351718436835e-05,2.2972162366796667e-13,8.116115418621561e-12
-78.4,6.923560700641991e-06,2.758080222542425e-13,9.354999414012966e-12
-78.0,1.6028337809621818e-05,3.4504343826569084e-13,8.921805134953775e-12
-77.6,3.870785581142934e-05,3.1937386762992404e-13,7.497465322192642e-12
-77.2,5.7083326232473634e-05,2.8844374805325756e-13,5.219318250163085e-12
-76.8,6.729029506598577e-05,1.959723616024034e-13,1.2590937407269687e-12
-76.4,6.63415128158585e-05,4.5766342104958113e-14,4.0345808291486485e-12
-76.0,5.278433825212699e-05,1.1084102385927608e-13,7.752044665909619e-12
-75.6,2.7179232977849258e-05,3.377090274092609e-13,6.871459998225582e-12
-75.2,7.71175629482937e-06,5.799319358068544e-13,2.5266160691428396e-12
-74.8,4.7099491748211694e-05,8.211261531831937e-13,6.020149656560392e-13
-74.4,8.472384348381934e-05,7.490466580328814e-13,4.492072512574108e-12
-74.0,0.00011374787336691479,6.693530278656379e-13,8.613626305276068e-12
-73.6,0.00012788280056546,4.634916582479942e-13,9.92156877488437e-13
-73.2,0.00012257758389255888,1.6669825242399128e-13,2.1229279618950603e-11
-72.8,9.606595269215888e-05,8.353040481523522e-14,4.274119946856558e-11
-72.4,5.005890364369846e-05,4.337988301905682e-13,4.336751964484353e-11
-72.0,1.0087314444332321e-05,3.80110873332562e-13,2.191409900764718e-11
-71.6,7.581839924355321e-05,6.486616799250555e-13,2.69099499627945e-12
-71.2,0.0001364417721206393,5.334604286089117e-13,3.870240933290248e-12
-70.8,0.00018070384757662384,3.5294141741137874e-13,1.0858573805741512e-11
-70.4,0.0001986937566286328,5.263151026113633e-15,7.545291648425323e-12
-70.0,0.00018378199334000145,5.225559568389215e-13,4.407049551680142e-11
