period,dK_RK4,dPx_RK4,dK_Boris,dPx_Boris,dK_SP-PINN (frozen),dPx_SP-PINN (frozen),dK_SP-PINN (time-coord),dPx_SP-PINN (time-coord)
1,1.5459915125859425e-08,3.1665689670390407e-07,0.0004807799716397554,0.006797849384794441,0.021362110875502438,1.7303623474074215e-06,7.693030351418884e-06,7.576769893269386e-06
4,2.985485070272631e-08,1.4786434077151966e-08,1.7732482149313e-12,0.0016338357125711411,6.967461074758319e-08,6.542276276277903e-09,3.5451205009362496e-06,4.2843767240619e-06
7,1.4394789360494542e-08,3.0187065336306773e-07,0.0004809186701075774,0.005699907414838279,0.021506383654793737,1.6863340044359632e-06,1.2376029476790507e-05,2.9569699013798356e-06
10,4.421675470211994e-08,2.8708326205162393e-07,0.0004974738570604487,0.0004946795115896574,0.0002656016015505358,1.666903367558703e-06,6.63650835708296e-06,5.072139395156938e-06
13,7.410466462687282e-08,2.722975462887689e-07,0.00048175674155803705,0.006675667341791369,0.021364300611510068,1.6307595729347923e-06,1.3753950785400093e-05,3.3359091382578754e-06
16,1.1941939126458578e-07,5.914569189968688e-08,2.7830293625186187e-11,0.0065268794848676315,4.7781268497359974e-08,5.858033835792753e-09,4.872892370832993e-06,7.897363525355416e-06
19,1.0395936378415627e-07,2.575112825198289e-07,0.00047989597140052354,0.005821483236324809,0.021504189297313125,1.626374298790978e-06,1.2124452261730312e-05,5.110158662890996e-07
22,1.3378132379671115e-07,2.42723878329798e-07,0.000497473856101216,0.00043401836630252433,0.0002639707518881096,1.6195915195638122e-06,4.887628250571652e-06,1.8602350073670948e-06
25,1.6366922928057193e-07,2.2793807064047655e-07,0.00048268264030504326,0.006555846107103358,0.02136643791264614,1.693644369415992e-06,1.2915680026814869e-05,3.5722733855436672e-06
28,2.0898391250856463e-07,1.035049814746003e-07,6.0499160126070706e-09,0.01138075061846533,8.876908874633216e-08,3.492588218634296e-09,7.927055147405326e-06,8.330123502986453e-06
31,1.9352391511517908e-07,2.1315239084884752e-07,0.00047881735178734175,0.005945453541057688,0.021502198554307128,1.74594419855012e-06,9.60603486177547e-06,4.075459433039441e-06
34,2.2334586979866344e-07,1.983646287229135e-07,0.0004974738481520191,0.00037333848526888147,0.0002623679735700435,1.5944946589740994e-06,9.922382524507611e-07,7.390908284055087e-06
37,2.532337708416321e-07,1.835789058546311e-07,0.00048356017736495005,0.006438296479214012,0.02136863872157413,1.6853073265821195e-06,8.876652218603454e-06,5.907128335369549e-06
